lindajohnson-11_lj001-0001;lindajohnson-11;lj001-0001;PRINTING IN THE ONLY SENSE WITH WHICH WE ARE AT PRESENT CONCERNED DIFFERS FROM MOST IF NOT FROM ALL THE ARTS AND CRAFTS REPRESENTED IN THE EXHIBITION;printing in the only sense with which we are at present concerned differs from most if not from all the arts and crafts represented in the exhibition;2
lindajohnson-11_lj001-0002;lindajohnson-11;lj001-0002;IN BEING COMPARATIVELY MODERN;in being comparatively modern;2
lindajohnson-11_lj001-0003;lindajohnson-11;lj001-0003;FOR ALTHOUGH THE CHINESE TOOK IMPRESSIONS FROM WOOD BLOCKS ENGRAVED IN RELIEF FOR CENTURIES BEFORE THE WOODCUTTERS OF THE NETHERLANDS BY A SIMILAR PROCESS;for although the chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the netherlands by a similar process;2
lindajohnson-11_lj001-0004;lindajohnson-11;lj001-0004;PRODUCED THE BLOCK BOOKS WHICH WERE THE IMMEDIATE PREDECESSORS OF THE TRUE PRINTED BOOK;produced the block books which were the immediate predecessors of the true printed book;2
lindajohnson-11_lj001-0005;lindajohnson-11;lj001-0005;THE INVENTION OF MOVABLE METAL LETTERS IN THE MIDDLE OF THE FIFTEENTH CENTURY MAY JUSTLY BE CONSIDERED AS THE INVENTION OF THE ART OF PRINTING;the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing;2
lindajohnson-11_lj001-0006;lindajohnson-11;lj001-0006;AND IT IS WORTH MENTION IN PASSING THAT AS AN EXAMPLE OF FINE TYPOGRAPHY;and it is worth mention in passing that as an example of fine typography;2
lindajohnson-11_lj001-0007;lindajohnson-11;lj001-0007;THE EARLIEST BOOK PRINTED WITH MOVABLE TYPES THE GUTENBERG OR FORTYTWO LINE BIBLE OF ABOUT FOURTEEN FIFTYFIVE;the earliest book printed with movable types the gutenberg or fortytwo line bible of about fourteen fiftyfive;2
lindajohnson-11_lj001-0008;lindajohnson-11;lj001-0008;HAS NEVER BEEN SURPASSED;has never been surpassed;2
lindajohnson-11_lj001-0009;lindajohnson-11;lj001-0009;PRINTING THEN FOR OUR PURPOSE MAY BE CONSIDERED AS THE ART OF MAKING BOOKS BY MEANS OF MOVABLE TYPES;printing then for our purpose may be considered as the art of making books by means of movable types;2
lindajohnson-11_lj001-0010;lindajohnson-11;lj001-0010;NOW AS ALL BOOKS NOT PRIMARILY INTENDED AS PICTUREBOOKS CONSIST PRINCIPALLY OF TYPES COMPOSED TO FORM LETTERPRESS;now as all books not primarily intended as picturebooks consist principally of types composed to form letterpress;2
lindajohnson-11_lj001-0011;lindajohnson-11;lj001-0011;IT IS OF THE FIRST IMPORTANCE THAT THE LETTER USED SHOULD BE FINE IN FORM;it is of the first importance that the letter used should be fine in form;2
lindajohnson-11_lj001-0012;lindajohnson-11;lj001-0012;ESPECIALLY AS NO MORE TIME IS OCCUPIED OR COST INCURRED IN CASTING SETTING OR PRINTING BEAUTIFUL LETTERS;especially as no more time is occupied or cost incurred in casting setting or printing beautiful letters;2
lindajohnson-11_lj001-0013;lindajohnson-11;lj001-0013;THAN IN THE SAME OPERATIONS WITH UGLY ONES;than in the same operations with ugly ones;2
lindajohnson-11_lj001-0014;lindajohnson-11;lj001-0014;AND IT WAS A MATTER OF COURSE THAT IN THE MIDDLE AGES WHEN THE CRAFTSMEN TOOK CARE THAT BEAUTIFUL FORM SHOULD ALWAYS BE A PART OF THEIR PRODUCTIONS WHATEVER THEY WERE;and it was a matter of course that in the middle ages when the craftsmen took care that beautiful form should always be a part of their productions whatever they were;2
